# processed_events,10000
# sample_material,G4_Fe
# incident_angle_deg,45.000000
# source_distance_mm,50.000000
# detector_distance_mm,20.000000
# nominal_takeoff_deg,45.000000
# detector_spread_deg,4.000000
# detector_step_deg,2.000000
# columns: det_id,det_angle_deg,bin_idx,bin_low_keV,bin_high_keV,count
0,41.000000,0,0.000000,0.024414,0.000000
0,41.000000,1,0.024414,0.048828,0.000000
0,41.000000,2,0.048828,0.073242,0.000000
0,41.000000,3,0.073242,0.097656,0.000000
0,41.000000,4,0.097656,0.122070,0.000000
0,41.000000,5,0.122070,0.146484,0.000000
0,41.000000,6,0.146484,0.170898,0.000000
0,41.000000,7,0.170898,0.195312,0.000000
0,41.000000,8,0.195312,0.219727,0.000000
0,41.000000,9,0.219727,0.244141,0.000000
0,41.000000,10,0.244141,0.268555,0.000000
0,41.000000,11,0.268555,0.292969,0.000000
0,41.000000,12,0.292969,0.317383,0.000000
0,41.000000,13,0.317383,0.341797,0.000000
0,41.000000,14,0.341797,0.366211,0.000000
0,41.000000,15,0.366211,0.390625,0.000000
0,41.000000,16,0.390625,0.415039,0.000000
0,41.000000,17,0.415039,0.439453,0.000000
0,41.000000,18,0.439453,0.463867,0.000000
0,41.000000,19,0.463867,0.488281,0.000000
0,41.000000,20,0.488281,0.512695,0.000000
0,41.000000,21,0.512695,0.537109,0.000000
0,41.000000,22,0.537109,0.561523,0.000000
0,41.000000,23,0.561523,0.585938,0.000000
0,41.000000,24,0.585938,0.610352,0.000000
0,41.000000,25,0.610352,0.634766,0.000000
0,41.000000,26,0.634766,0.659180,0.000000
0,41.000000,27,0.659180,0.683594,0.000000
0,41.000000,28,0.683594,0.708008,0.000000
0,41.000000,29,0.708008,0.732422,0.000000
0,41.000000,30,0.732422,0.756836,0.000000
0,41.000000,31,0.756836,0.781250,0.000000
0,41.000000,32,0.781250,0.805664,0.000000
0,41.000000,33,0.805664,0.830078,0.000000
0,41.000000,34,0.830078,0.854492,0.000000
0,41.000000,35,0.854492,0.878906,0.000000
0,41.000000,36,0.878906,0.903320,0.000000
0,41.000000,37,0.903320,0.927734,0.000000
0,41.000000,38,0.927734,0.952148,0.000000
0,41.000000,39,0.952148,0.976562,0.000000
0,41.000000,40,0.976562,1.000977,0.000000
0,41.000000,41,1.000977,1.025391,0.000000
0,41.000000,42,1.025391,1.049805,0.000000
0,41.000000,43,1.049805,1.074219,0.000000
0,41.000000,44,1.074219,1.098633,0.000000
0,41.000000,45,1.098633,1.123047,0.000000
0,41.000000,46,1.123047,1.147461,0.000000
0,41.000000,47,1.147461,1.171875,0.000000
0,41.000000,48,1.171875,1.196289,0.000000
0,41.000000,49,1.196289,1.220703,0.000000
0,41.000000,50,1.220703,1.245117,0.000000
0,41.000000,51,1.245117,1.269531,0.000000
0,41.000000,52,1.269531,1.293945,0.000000
0,41.000000,53,1.293945,1.318359,0.000000
0,41.000000,54,1.318359,1.342773,0.000000
0,41.000000,55,1.342773,1.367188,0.000000
0,41.000000,56,1.367188,1.391602,0.000000
0,41.000000,57,1.391602,1.416016,0.000000
0,41.000000,58,1.416016,1.440430,0.000000
0,41.000000,59,1.440430,1.464844,0.000000
0,41.000000,60,1.464844,1.489258,0.000000
0,41.000000,61,1.489258,1.513672,0.000000
0,41.000000,62,1.513672,1.538086,0.000000
0,41.000000,63,1.538086,1.562500,0.000000
0,41.000000,64,1.562500,1.586914,0.000000
0,41.000000,65,1.586914,1.611328,0.000000
0,41.000000,66,1.611328,1.635742,0.000000
0,41.000000,67,1.635742,1.660156,0.000000
0,41.000000,68,1.660156,1.684570,0.000000
0,41.000000,69,1.684570,1.708984,0.000000
0,41.000000,70,1.708984,1.733398,0.000000
0,41.000000,71,1.733398,1.757812,0.000000
0,41.000000,72,1.757812,1.782227,0.000000
